epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1257.94,1.48075,1.97247,1.62693,0.43255,0.56848,0.50912,0.27565,1.76441,1.90304,1.87315,0.00091175,0.00091175,0.00091175
43,1287.01,1.47025,1.98484,1.63821,0.5836,0.38789,0.50747,0.27565,1.71206,1.93088,1.8203,0.0009035,0.0009035,0.0009035
44,1316.28,1.48577,1.95809,1.64037,0.50566,0.45534,0.49579,0.29495,1.68964,1.99166,1.79865,0.00089525,0.00089525,0.00089525
45,1345.34,1.46396,1.91324,1.64836,0.51434,0.58235,0.53248,0.29777,1.63051,1.83149,1.77724,0.000887,0.000887,0.000887
46,1374.44,1.4408,1.9426,1.62709,0.51839,0.49441,0.52671,0.30628,1.69634,1.87917,1.79548,0.00087875,0.00087875,0.00087875
47,1403.96,1.4561,1.92956,1.62308,0.55275,0.45998,0.51323,0.29662,1.69436,1.89806,1.82494,0.0008705,0.0008705,0.0008705
48,1433.74,1.4567,1.98116,1.62211,0.61135,0.4427,0.52148,0.29795,1.69881,1.83168,1.8163,0.00086225,0.00086225,0.00086225
49,1463.08,1.37068,1.8856,1.56468,0.46359,0.59151,0.50882,0.27271,1.76007,1.93138,1.85819,0.000854,0.000854,0.000854
50,1492.28,1.45127,1.95401,1.62803,0.55389,0.44597,0.50452,0.29244,1.70529,1.8244,1.80739,0.00084575,0.00084575,0.00084575
51,1521.85,1.44075,1.92815,1.60797,0.49496,0.5403,0.50978,0.27523,1.7175,1.84561,1.83006,0.0008375,0.0008375,0.0008375
52,1550.95,1.42768,1.8548,1.60176,0.56137,0.52722,0.54965,0.30557,1.65206,1.7376,1.781,0.00082925,0.00082925,0.00082925
53,1580.54,1.42672,1.88539,1.62062,0.52158,0.55408,0.56372,0.31376,1.71035,1.7799,1.83639,0.000821,0.000821,0.000821
54,1610.43,1.44319,1.89503,1.6196,0.55901,0.53416,0.54075,0.30657,1.66824,1.81493,1.81621,0.00081275,0.00081275,0.00081275
55,1639.74,1.40937,1.88045,1.59,0.53335,0.5194,0.52548,0.3011,1.66746,1.80399,1.81243,0.0008045,0.0008045,0.0008045
56,1669.49,1.38468,1.82004,1.56494,0.52497,0.48526,0.539,0.32546,1.62062,1.83129,1.77214,0.00079625,0.00079625,0.00079625
57,1699.08,1.39192,1.78674,1.59847,0.58619,0.53449,0.53966,0.30911,1.64822,1.81522,1.80069,0.000788,0.000788,0.000788
58,1728.55,1.44022,1.89417,1.61632,0.47641,0.60208,0.53021,0.30786,1.64297,1.79472,1.78024,0.00077975,0.00077975,0.00077975
59,1758.08,1.39912,1.84677,1.57837,0.58844,0.59671,0.55678,0.29813,1.69506,1.77104,1.79514,0.0007715,0.0007715,0.0007715
60,1787.53,1.40226,1.86874,1.58215,0.62132,0.58664,0.57273,0.31397,1.64011,1.76184,1.77349,0.00076325,0.00076325,0.00076325
61,1818.39,1.34359,1.77062,1.55296,0.43879,0.56002,0.54123,0.31818,1.65223,1.82209,1.77819,0.000755,0.000755,0.000755
62,1850.17,1.37772,1.80798,1.59193,0.54117,0.52315,0.51852,0.3078,1.64064,1.84776,1.74872,0.00074675,0.00074675,0.00074675
63,1880.73,1.39692,1.80259,1.58408,0.52423,0.51419,0.51074,0.30533,1.61961,1.78455,1.7458,0.0007385,0.0007385,0.0007385
64,1910.57,1.3743,1.79787,1.57202,0.54608,0.47338,0.51597,0.29157,1.67388,1.85679,1.78576,0.00073025,0.00073025,0.00073025
65,1939.76,1.37802,1.78791,1.54227,0.54349,0.45704,0.52891,0.30965,1.65261,1.80541,1.75434,0.000722,0.000722,0.000722
66,1968.82,1.36834,1.73902,1.55419,0.58342,0.457,0.55279,0.33082,1.56954,1.74725,1.70128,0.00071375,0.00071375,0.00071375
67,1997.96,1.34208,1.77723,1.55187,0.46478,0.52742,0.46942,0.28484,1.57365,1.90276,1.71467,0.0007055,0.0007055,0.0007055
68,2027.52,1.36797,1.74853,1.56107,0.51405,0.47899,0.50942,0.32163,1.57056,1.76841,1.72273,0.00069725,0.00069725,0.00069725
69,2056.75,1.40567,1.78273,1.61176,0.47054,0.50296,0.52485,0.33224,1.5857,1.78961,1.73444,0.000689,0.000689,0.000689
70,2087.43,1.31787,1.69861,1.52158,0.64755,0.47376,0.51563,0.31196,1.57081,1.74975,1.70699,0.00068075,0.00068075,0.00068075
71,2117.22,1.33367,1.6966,1.54378,0.44389,0.59925,0.51509,0.31143,1.55637,1.78418,1.68572,0.0006725,0.0006725,0.0006725
72,2146.39,1.34919,1.6869,1.53895,0.62138,0.44906,0.52735,0.31652,1.61798,1.7289,1.71974,0.00066425,0.00066425,0.00066425
73,2175.39,1.34855,1.64001,1.53913,0.62392,0.53998,0.54086,0.31593,1.6015,1.71746,1.70426,0.000656,0.000656,0.000656
74,2204.47,1.31961,1.65537,1.51392,0.61308,0.50751,0.583,0.32998,1.58879,1.64814,1.71072,0.00064775,0.00064775,0.00064775
75,2233.48,1.29958,1.68311,1.50137,0.57704,0.52095,0.55638,0.3333,1.54798,1.68492,1.67298,0.0006395,0.0006395,0.0006395
76,2262.62,1.30647,1.65989,1.53072,0.56899,0.50515,0.51832,0.29738,1.58184,1.71982,1.74545,0.00063125,0.00063125,0.00063125
77,2291.88,1.29012,1.67713,1.51345,0.56981,0.49117,0.52042,0.28018,1.60938,1.76827,1.75459,0.000623,0.000623,0.000623
78,2320.97,1.35281,1.69802,1.55114,0.47613,0.60066,0.55172,0.30831,1.65497,1.80076,1.7628,0.00061475,0.00061475,0.00061475
79,2350.29,1.26158,1.60722,1.51198,0.56152,0.49048,0.56611,0.32801,1.61005,1.73698,1.76617,0.0006065,0.0006065,0.0006065
80,2379.27,1.29437,1.66876,1.53127,0.61001,0.41615,0.5336,0.3138,1.61659,1.7226,1.74461,0.00059825,0.00059825,0.00059825
81,2409.02,1.30019,1.59058,1.51983,0.53976,0.49587,0.56627,0.32714,1.59179,1.62756,1.69571,0.00059,0.00059,0.00059
